dance_id,category,grade,student_name,n_smpl_frames,duration_seconds,music_file,teacher_comment_en,teacher_comment_cn
2,Folk,A,jun11__2,2034,81.4,2.mp3,"The essentials of the movement are well grasped and applied. While opening and closing the hips, try to slightly tighten and lift the abdominal muscles, converting the ""swing"" of the hips into a horiz",动作要领的把握及运用很好，在胯部开合的同时，尝试将腹肌微微收紧上提，把胯的“摆动”转化为“提沉”带动下的横向弧线，使下身步伐更具女性韵味。
2,Folk,B,jun11,2034,81.4,2.mp3,"The movements are consistent with the melody of the music, but when turning around to do the inverted T-shape, the head and body are ""welded"" together. The head will turn wherever the body turns, and ",动作与音乐旋律较为吻合，但转身做倒丁字时，头和身体是“焊”在一起的，身体转到哪儿头转到哪儿，眼神发直，表现力不够。
2,Folk,B,jun11__1,2034,81.4,2.mp3,"The grasp and application of the essentials of the movements are good, but when retreating, the center of gravity is obviously sitting on the back heel, causing the upper body to lean forward and the ",动作要领的把握及运用较好，但后退时重心明显坐在了后脚跟上，导致上半身前倾、屁股明显后撅。
2,Folk,B,jun11__3,2034,81.4,2.mp3,"The coordination of the body is good, but the movement of the main foot is too small, and there is almost no angle change, resulting in the feeling that the inverted T-shape is not open, and the steps",身体的协调性较好，但主力脚碾动幅度太小，几乎没有角度变化，导致倒丁字没有打开的感觉，步伐像被“捆”住了，不够舒展。
2,Folk,C,jun11__2,2034,81.4,2.mp3,"The body's coordination, stretch, and flexibility are poor, the body's center of gravity is unstable, and the position of the inverted T-shape is wrong.",身体的协调性、舒展性、灵活性较差，身体重心不稳，倒丁字落脚位置不对。
2,Folk,C,jun11__4,2034,81.4,2.mp3,The grasp and application of the essentials of the movements are poor. The soles of the feet are all on the ground and there is no rolling process.,动作要领的把握及运用较差，脚掌全踩在地上，没有碾动过程。
2,Folk,C,jun11__5,2034,81.4,2.mp3,"The body's coordination, stretch, and flexibility are poor, and the core in the middle section is not tight.",身体的协调性、舒展性、灵活性较差，中段核心没收紧。
3,Folk,A,jun11,1791,71.6,3.mp3,"The coordination, stretch, and flexibility of the body are good, and the ""stretching strength"" of the arms when pushing the fan is very good. Next, when the fan is pushed to the end, you can try to co",身体的协调性、舒展性、灵活性好，推扇时手臂的“抻劲”很好，下一步在扇子推到尽头时，可以试着把力量继续“透”过扇骨传递到扇面边缘，让扇面在完全打开时有瞬间的“弹抖”感，会让视觉冲击力翻倍。
3,Folk,A,jun11__1,1791,71.6,3.mp3,"The contrast between the ""hurry"" of holding the fan and the ""slow"" of pushing the fan is very sharp. You can add a quick ""constriction"" reaction of the waist (fast flashing of the abdomen) at the mome",抱扇的“急”与推扇的“缓”对比非常鲜明，可以在抱扇瞬间加入腰部的快速“收束”反应（腹部快速闪动），让快慢对比不仅仅是手臂动作，而是全身肌肉的一张一弛，舞感会更加高级。
3,Folk,A,jun11__2,1791,71.6,3.mp3,"The movements are coherent and well coordinated. In the connection of push fans in different directions, you can try to use the weight and inertia of the fan itself. When changing from an oblique push",动作连贯，协调性好。在不同方位的推扇衔接中，可以尝试运用扇子自身的重量与惯性。在斜推变横推时，利用扇头的下坠势能顺势走“8”字弧线，动作会更加行云流水。
3,Folk,B,jun11,1791,71.6,3.mp3,"The grasp and application of the essentials of the movements are good. The handle of the fan is too ""grip"", like a fist. The fingers are stiff when holding the fan, which results in a stiff movement o",动作要领的把握及运用较好，扇柄“攥”得太死了，像握拳头。抱扇时手指是僵的，这导致抱扇动作生硬，且影响了推扇时扇子的翻转灵活度。
3,Folk,B,jun11__1,1791,71.6,3.mp3,"The dance style is well mastered. Every time he exerts force to push the fan, his shoulders will rise up unconsciously, and it is obvious that he is holding his breath and exerting force. This causes ",舞蹈中风格的掌握较好，每次发力推扇时，肩膀会不自觉地向上耸起，且明显在憋着一口气用力。这导致上肢紧张，失去了“抻”的舒展感。
3,Folk,B,jun11__2,1791,71.6,3.mp3,"The movements are consistent with the melody of the music and have a good sense of rhythm. When pushing horizontally and obliquely, the directions of the wrists and fingers are correct, but the arms a",动作与音乐旋律较为吻合，节奏感较好，横推和斜推时，手腕、手指方向是对的，但大臂懈了，胳膊肘明显低于手腕，导致整个推扇是“塌”下去的，失去了挺拔感。
3,Folk,C,jun11,1791,71.6,3.mp3,"The coordination of the body is poor, so the fan holding and pushing are made into uniform movements with the same frequency.",身体的协调性较差，把抱扇和推扇做成了一个频率的匀速运动。
3,Folk,C,jun11__1,1791,71.6,3.mp3,"The stretchability of the body is poor. When pushing the fan, the fan is always clamped (half-opened) or pushed out before being hurriedly opened. The fan cannot be opened, resulting in a small visual",身体的舒展性较差，推扇时，扇子都是夹着的（半开状态）或推出去才慌忙打开，扇面打不开，导致动作视觉面积小且显得小气。
3,Folk,C,jun11__2,1791,71.6,3.mp3,"The body's flexibility is poor, and the upper and lower bodies are uncoordinated.",身体的灵活性较差，上下身不协调。
3,Folk,C,jun11__4,1792,71.7,3.mp3,"The grasp and application of the essentials of movements are poor, and the typical rhythm characteristics of ""fast to hold and slow to push"" cannot be seen.",动作要领的把握及运用较差，看不出“快抱慢推”的典型节奏特征。
4,Folk,A,jun11,596,23.8,4.mp3,"The whole combination of middle school students has a very solid chassis. The stance of the big figure eight steps is in place, the upper body is stable, and the lower limbs are moving, reflecting the",整个组合中学生底盘非常扎实，大八字步站位开度到位，上身稳住、下肢运转，体现出沉稳厚重的整体风貌。下一步再后脚推地时可用一个“寸劲”把重心推上去。在重心转换的瞬间依然保持底盘不散、不上下跳动，“动中求稳”。
4,Folk,B,jun11,596,23.8,4.mp3,"The grasp and application of the essentials of the movements are good, but the body has obvious ups and downs and jumps during the entire combination.",动作要领的把握及运用较好，但整个组合过程中身体有明显的上下起伏和跳动。
4,Folk,C,jun11,596,23.8,4.mp3,"The upper body is loose and stiff, with no ""heavy"" feeling at all. All movements float on the surface, and the breath hangs in the chest without sinking.",上半身松懈且僵硬，完全没有“沉”的感觉，动作全部浮在表面，气息悬在胸口没有下沉。
5,Folk,A,jun11,1758,70.3,5.mp3,"The force exerted in the movements is very good, the ""stretching strength"" after the chop is maintained well, and the movements are coherent and smooth, reflecting the characteristics of ""soft yet str",动作中的发力非常到位，劈击之后的“抻劲”保持得很好，动作衔接连贯流畅，体现了“柔中带刚”的特质。进一步提升的地方：劈击完成后的延伸过程可更加饱满。
5,Folk,B,jun11,1758,70.3,5.mp3,"The grasp and application of the essentials of the movements are good, but the order of exerting force needs to be paid attention to. ""Use the waist to drive the arms"". The waist is the source of powe",动作要领的把握及运用较好，但发力顺序需要重视，“以腰发力带动双臂”，腰是动力源，不是手臂。
5,Folk,C,jun11,1758,70.3,5.mp3,"There is no contrast between fast and slow rhythm, no alternation between exertion and extension. ""Stretching"" is the dynamic characteristic of Guzi Yangko, and ""toughness"" is the overall momentum req",节奏没有快慢对比，没有发力与延伸的交替。“抻”是鼓子秧歌的动力特征，“韧”是总体动势要求，无“抻”无“韧”。
6,Folk,A,jun11,921,36.8,6.mp3,"The overall momentum is very coherent, and the charm of ""continuous strength"" has initially appeared. In movements such as swinging the outer ring up and twisting the outer ring down, the active force",整体动势非常连贯，“劲不断线”的韵味已经初步呈现。外环上晃拧、外环下晃拧等动作中，腰部的主动发力很清晰，体现了“腰领身转”的肢体准则。目前的“韧”更多体现在大线条动作上，建议在细节处加强“韧”的质感——比如手臂走弧线时、掏手挽8字时，要让每一个小关节都带着韧劲走完全程，而不是只在起止点用力。
6,Folk,B,jun11,921,36.8,6.mp3,"The starting point and force exertion point of each movement were done well, but immediately after the movement was completed, the movement relaxed, lacking the sense of ""stretching"". There was no awa",每个动作的起始和发力点都做得不错，但动作完成后就立刻松懈了，缺少“抻”的延伸感。手臂没有继续向外抻开的意识，导致动作显得生硬、断断续续。
6,Folk,C,jun11,921,36.8,6.mp3,"There is no power transmission between the upper and lower body. The feet are walking, the upper body is shaking randomly or is frozen, and the core in the middle is not tightened.",上下身之间没有力量的传导，脚下在走步伐，上半身在胡乱晃动或者僵住不动，中段核心没收紧。
7,Modern,A,jun11__4,1349,54.0,7.mp3,"Whether it is forward bending, backbending or lateral wave movement, the ""section by section"" awareness of the spine is very clear. It is recommended to further understand the compression and stretchi",无论是前屈、后弯还是侧向的波浪运动，脊柱的“逐节”意识均非常清晰，建议在侧向波浪中进一步体会两侧肋骨的压缩与拉开关系，使三维空间的脊柱运动更加均衡发展。
7,Modern,A,jun11__5,1349,54.0,7.mp3,"Accurately grasping the principle that ""the pelvis is the root of spinal movement"", the ability to sink the center of gravity to the ischium is outstanding, establishing a real and sensitive contact r",对“骨盆是脊柱运动之根”这一原则准确把握，重心下沉至坐骨的能力突出，与地面建立了真实而敏感的接触关系。骨盆的横向倾斜与螺旋拧转与脊柱运动的结合尚可进一步深化。
7,Modern,A,jun11__6,1619,64.8,7.mp3,"Whether it is rolling from supine to prone, or continuous flipping from side to side, the transition of the center of gravity is very smooth. During the rolling process, the contact points of each par",无论是从仰卧滚至俯卧，还是侧卧位的连续翻转，重心的转换均十分流畅，滚动过程中身体各部位与地面的接触点依次有序转换，无生硬的“拍地”或“砸地”现象，体现了极高的身体控制力与对重力的顺应能力。建议在滚动中进一步加入速度变化，使地面活动的质感层次更加丰富。
7,Modern,B,jun11,1349,54.0,7.mp3,"The relationship between the body and the ground appears as a clear ""confrontation"" rather than a ""dialogue"". In the sitting position, the contact point between the ischium and the ground is floating.",身体与地面之间的关系表现为明显的“对抗”而非“对话”。坐姿中坐骨与地面的接触点虚浮，仰卧位时腰部不能完全信赖地面的支撑而悬空，导致动作紧张、呼吸短浅。
7,Modern,B,jun11__1,1349,54.0,7.mp3,"The quality of rolling movements on the ground is not yet stable: the first half of the rolling is often relatively smooth, but ""stuck"" or ""stagnant"" often occurs in the middle of the rolling (such as",地面滚动动作质量尚不稳定：在滚动的前半程往往较为流畅，但滚动至中段（如从侧卧转俯卧的过渡位置）时常出现“卡顿”或“停滞”，随后依靠手臂或腿部的额外推力才能完成滚动，破坏了滚动的连续性与完整性。
7,Modern,B,jun11__3,1349,54.0,7.mp3,"The overall range of spinal motion is good, but there is a typical problem: the spinal segments lack a clear ""section-by-section"" order. It is often the case that the thoracic and lumbar vertebrae sta",脊柱运动整体幅度较好，但存在一个典型问题：脊柱各段缺乏明确的“逐节”次序，常出现胸椎与腰椎同时启动、甚至颈椎先于腰椎运动的情况。
7,Modern,C,jun11,1349,54.0,7.mp3,"Lack of awareness of spinal movement, simultaneous movement of all segments. When bending forward, the entire back bends downward at the same time. When bending back, the entire back leans backward at",脊柱运动意识缺失、全段同时运动前屈时整个背部同时向下弯曲，后弯时整个背部同时向后仰，脊柱各段之间没有时间差与层次差。
7,Modern,C,jun11__1,1349,54.0,7.mp3,"There is a serious disconnect between breathing and movements, and the phenomenon of breath holding is common, causing all movements to appear tense, short, and lacking in flow.",呼吸与动作严重脱节、屏气现象普遍，导致所有动作均呈现紧张、短促、缺乏流动感的面貌。
7,Modern,C,jun11__2,1349,54.0,7.mp3,"The disorientation and body ""falling apart"" during rolling on the ground are caused by the lack of coordination between the head and the torso, resulting in rolling without a clear direction and often",地面滚动中的方向迷失与身体“散架”，头部与躯干之间无协调关系，导致滚动无明确方向且常在中途“散架”停止。
8,Modern,A,jun11__2,2985,119.4,8.mp3,"In the combination of moving center of gravity, the shift of the center of gravity shows a high degree of consistency. It is recommended to actively create a speed contrast in the combination to make ",在移动重心组合中，重心的转移呈现出高度的连贯性，建议在组合中可主动制造速度反差，使重心移动的表现力更加多元。
8,Modern,A,jun11__3,2985,119.4,8.mp3,"In the combination of moving the center of gravity, the horizontal plane control ability of the pelvis is particularly outstanding. It can further stabilize the control force and make the movements cl",在移动重心组合中，骨盆的水平面控制能力尤为突出。可进一步稳定控制力，使动作干净利落。
8,Modern,A,jun11__4,2985,119.4,8.mp3,"Squats have both depth and straightness. The quality of squats in the current static posture is higher. It is recommended to increase the awareness of ""push the ground"" during the dynamic process of s",深蹲兼具深度与挺拔感，当前静止姿态下的蹲的质量较高，建议在蹲的动态过程中（即由深蹲向半脚尖立起的过渡）增加“推地”意识——感受脚掌与地面之间的压力变化
8,Modern,B,jun11,2985,119.4,8.mp3,"The trunk is leaning forward while the center of gravity is shifting. Before the center of gravity is completely moved to the front foot, the upper body has leaned forward significantly, destroying th",重心转移中的躯干前倾，重心尚未完全移至前脚时，上半身已大幅度前倾，破坏了脊柱的中立延长状态。
8,Modern,B,jun11__1,2985,119.4,8.mp3,"The hip joint is limited during the lateral center of gravity transfer. When the center of gravity moves laterally, the opening range of the hip joint is obviously insufficient.",侧向重心转移中的髋关节受限，重心横向移动时，髋关节的打开幅度明显不足
8,Modern,B,jun11__2,2985,119.4,8.mp3,深蹲中的骨盆位置不稳定，在下蹲至大腿平行地面位置时，骨盆出现明显的“前倾-后倾”摆动。,深蹲中的骨盆位置不稳定，在下蹲至大腿平行地面位置时，骨盆出现明显的“前倾-后倾”摆动。
8,Modern,C,jun11,2985,119.4,8.mp3,"When moving the center of gravity, the body presents a ""whole lodging"" movement pattern. This mode makes the center of gravity shift lose the delicate texture that modern dance should have, and reduce",在移动重心时，身体呈现“整体倒伏”的运动模式，此模式使重心转移失去现代舞应有的细腻质感，且降低了重心转移的可控性与稳定性。
8,Modern,C,jun11__1,2985,119.4,8.mp3,"The pelvis is in an obvious ""locked"" state - there is no relative movement between the pelvis and the spine, and all adjustments for buffering and weight transfer are completed by the knee and ankle j",骨盆呈现明显“锁死”状态——骨盆与脊柱之间无相对运动，所有缓冲与重心转移的调节均由膝关节和踝关节单独完成。
8,Modern,C,jun11__3,2985,119.4,8.mp3,"During the squatting process, the direction of the knees is obviously buckled inward (the knee joints deflect toward the midline of the body), which is inconsistent with the direction of the toes.",下蹲过程中，双膝方向明显内扣（膝关节向身体中线方向偏转），与脚尖方向不一致。
9,Modern,A,jun11,1852,74.1,9.mp3,"During the wiping process, the transition of the sole of the foot from the heel to the sole of the foot and then to the toe is delicate, which can adjust the breathing and improve the texture of the m",擦地过程中，脚掌从脚跟到脚掌再到脚尖的过渡细腻，可在保持触地完整性的前提下，调整呼吸，提高动作质感。
9,Modern,A,jun11__1,1852,74.1,9.mp3,"The movements are coordinated and the degree of completion is good. On the premise of keeping the two technical elements of ""moving"" and ""wiping"" in sync, try to add expressive processing such as ""mom",动作协调，完成度好，可在保持“移动”与“擦地”两个技术要素同步的前提下，尝试在擦地至最远端时加入“瞬间停顿”或“方向骤变”等表达性处理，使移动擦地从基础的训练性动作向表演性动作过渡，实现“技巧服务于表达”的转化。
9,Modern,A,jun11__2,1852,74.1,9.mp3,"The pelvis-spine system shows good stability and independence. In terms of posture, the spine can be further developed to maintain an independent posture of lateral extension and vertical uprightness ",骨盆-脊柱系统展现出很好的稳定性与独立性，姿态方面可进一步开发脊柱在骨盆稳定的基础之上，保持侧向延长和垂直挺拔的独立姿态。
9,Modern,B,jun11,1852,74.1,9.mp3,"During the mobile mopping process, the pelvis failed to maintain horizontal stability - when the power leg wiped out sideways, the pelvis obviously ""dropped"" in the direction of the power leg (that is",在移动擦地过程中，骨盆未能保持水平稳定——当动力腿向旁擦出时，骨盆明显向动力腿方向“掉落”（即支撑腿侧的骨盆上提、动力腿侧的骨盆下沉），破坏了脊柱中轴线的垂直性与整体体态的平衡感。
9,Modern,B,jun11__1,1852,74.1,9.mp3,"In moving forward and backward, there is a lack of precise timing coordination between the mopping action of the power leg and the transfer of the center of gravity - when wiping forward, the center o",在向前和向后的移动擦地中，动力腿擦地动作与重心转移之间缺乏精确的时序配合——向前擦地时，重心往往滞后于动力腿（动力腿已至最远端，重心仍停留在后脚）；向后擦地时，重心又领先于动力腿（重心已后移，动力腿尚未完成擦地）。这种错位导致移动擦地的整体协调性不足。
9,Modern,B,jun11__3,1852,74.1,9.mp3,"During the wiping process, the foot contact trajectory ""jumps"" and the heel leaves the ground early. The heel leaves the ground too early, causing the sole of the foot to appear in an intermediate sus",擦地过程中脚部触地轨迹“跳跃”、脚跟提前离地，脚跟离地过早，导致脚掌在擦出过程中出现“脚跟已离而脚尖未达”的中间悬浮状态，脚与地面之间产生短暂的接触中断。
9,Modern,C,jun11,1852,74.1,9.mp3,"The overall center of gravity during movement is unstable and the traveling route is seriously deviated. After each wipe, the body shifts sideways in the direction of the power leg or rocks back and f",移动中的整体重心不稳定、行进路线偏移严重，每次擦地后身体均出现向动力腿方向的侧向偏移或前后晃动，导致动作路线严重偏离设计轨迹。
9,Modern,C,jun11__1,1852,74.1,9.mp3,"During the power leg movement, the entire sole of the foot is lifted off the ground, and the toes glide in the air instead of rubbing on the ground. The movement shape is closer to ""stepping"" or ""walk",动力腿运动过程中全脚掌抬离地面，脚尖在空中滑行而非在地面上摩擦，动作形态更接近“迈步”或“行走”而非“擦地”。
9,Modern,C,jun11__2,1852,74.1,9.mp3,"During the process of wiping the floor, the ankle joint is loose and weak. When the wiping reaches the farthest point, the toes cannot be fully pressed down and straightened, leaving a vague state of ",擦地过程中踝关节松弛无力，擦出至最远点时脚尖未能充分下压绷直、呈半勾半绷的模糊状态；返回时脚跟在尚未到达起始位之前即已落地、脚掌和脚尖呈被动拖拽状。
10,Modern,A,jun11,1325,53.0,10.mp3,"Demonstrated good awareness of breathing leading movement in the activity mix. Nowadays, the coordination of breathing and large-scale activities has become relatively mature. Fine guidance of breathi",在活动组合中展现了以呼吸引领动作的良好意识。当前呼吸与大幅度活动的配合已较为成熟，可在小关节活动（如腕关节、踝关节的环绕）中同样引入呼吸的精细引导，使气息的参与贯穿至身体末梢，而非仅停留于躯干活动层面。
10,Modern,A,jun11__3,1325,53.0,10.mp3,"The combination of activities reflects a high degree of procedurality and systematicity, and the connection between the joint activity modules is natural and smooth, without any sense of pause or frag",活动组合体现出高度的程序性与系统性，各关节活动模块之间的衔接自然流畅，无停顿或割裂感。可在活动组合中进一步融入空间层次的变化，强化活动组合作为“身体与空间的初次对话”的功能。
10,Modern,A,jun11__5,1325,53.0,10.mp3,"In the combination of activities, the amplitude of each movement direction of the spine is fully developed. On the premise of ensuring the existing amplitude, further attention can be paid to the trai",在活动组合中对脊柱各运动方向的幅度开发较为充分。在保证现有幅度的前提下，可进一步关注脊柱螺旋运动方向的训练，即躯干在侧屈基础上叠加水平面的拧转，使脊柱的斜向活动链也得到同等程度的激活，进一步丰富组合对脊柱的准备功能。
10,Modern,B,jun11__2,1325,53.0,10.mp3,[Translation failed: Request exception can happen due to an api connection error. Please check your connection and try again],单一平面活动过多、多维活动不足，脊柱主要做矢状面的屈伸活动，肩关节主要做冠状面的开合活动，缺乏在同一次活动中叠加多个运动平面的意识。
10,Modern,B,jun11__3,1325,53.0,10.mp3,[Translation failed: Request exception can happen due to an api connection error. Please check your connection and try again],该生的活动组合较为注重大关节（脊柱、髋、膝）的活动，但对末梢关节——尤其是手指各关节、手腕的屈伸旋转、脚趾的屈伸与展开、踝关节的环绕幅度——的关注略显不足。
10,Modern,B,jun11__4,1325,53.0,10.mp3,"The respiratory tissue in the activity combination is not stable enough, which is manifested by insufficient matching between breathing and movement rhythm. Breath-holding phenomenon sometimes occurs ",在活动组合中的呼吸组织尚不够稳定，表现为呼吸与动作节律之间的匹配度不足，部分动作中屏气现象时有出现，尤其在进行较大幅度的脊柱活动时，呼吸常出现中断或急促代偿。
10,Modern,C,jun11,1325,53.0,10.mp3,"The activity combination is insufficiently completed, as shown by the obviously small range of movements, the obviously fast pace, and the serious uneven distribution of attention between each link.",活动组合完成度不足，表现为动作幅度明显偏小、节奏明显偏快、各环节之间的注意力分配严重不均
10,Modern,C,jun11__1,1325,53.0,10.mp3,"In the process of completing the activity combination, there are obvious deficiencies in the basic posture control of the body - the pelvic position swings back and forth unsteadily, the knee joint is",完成活动组合的过程中，身体的基本体态控制存在明显不足——骨盆位置前后摆动不定、膝关节在直立位时超伸锁死、肩带在手臂活动中耸起未下沉。
10,Modern,C,jun11__2,1325,53.0,10.mp3,"There is a lack of reasonable sequence logic between the various links of the activity combination - for example, the spine is not yet moved, and then a large amount of lateral lateral flexion is perf",活动组合各环节之间缺乏合理的顺序逻辑——如脊柱尚未活动即进行大幅度的旁腰侧屈、踝关节尚未活动即进入深度下蹲状态、肩带尚未活动即开始手臂的快速挥舞。
11,Modern,A,jun11__1,677,27.1,11.mp3,"The connection quality between each action unit is high. You can further inject ""breathing continuity"" into the connection - that is, start inhaling to prepare for the next action before the exhalatio",各动作单元之间的衔接质量较高。可进一步在衔接中注入“呼吸的连续性”——即在前一动作的呼气尚未完全结束时即开始吸气准备下一动作，使呼吸的交叠成为衔接的内在驱动力。
11,Modern,A,jun11__4,677,27.1,11.mp3,"The technical handling of center of gravity switching in the training combination is relatively mature. The stability and rhythm of the center of gravity transition can be further processed, and the e",在训练组合中对重心转换的技术处理较为成熟。可进一步处理重心转换的稳定性与节奏，丰富重心转换的表达可能性
11,Modern,A,jun11__6,677,27.1,11.mp3,"Demonstrates a high degree of spatial awareness during training sets. While maintaining the existing directional accuracy, we can further explore the ""height levels"" of space - that is, improve the qu",在训练组合中展现出高度的空间意识。可在保持现有方向精度的前提下，进一步探索空间的“高度层次”——即提高在高、中、低三个空间层次中动作交替运用的质量
11,Modern,B,jun11__3,677,27.1,11.mp3,[Translation failed: Request exception can happen due to an api connection error. Please check your connection and try again],方向转换中的视线与头部配合不足，头部与视线的引导作用发挥不够充分——方向改变时头部与躯干同步转动，视线未能在身体转向之前先行到达新方向，导致动作的先导性和指向性不足，方向转换显得被动且缺乏明确的意图感。
11,Modern,B,jun11__4,677,27.1,11.mp3,"There is insufficient space for the range of movements, the limbs are not fully extended to the far end of the space, and the arc of the movement trajectory is too small, which makes the dance not occ",动作幅度的空间不充分，四肢未充分向空间远端延展，动作轨迹的弧线偏小，使舞蹈的空间占据感不足。
11,Modern,B,jun11__5,677,27.1,11.mp3,"The central axis of the body is offset in the middle position, and there is still room for improvement in the stability of the central axis of the body.",中间位置身体中轴偏移，身体中轴线的稳定性尚有提升空间。
11,Modern,C,jun11,677,27.1,11.mp3,"During the process of shifting the center of gravity, the center of gravity ""tilts"" rather than ""shifts"" - manifested in the fact that when moving the center of gravity from one leg to the other, the ",重心转换过程中呈现重心“倾倒”而非“转移”的状态——表现为从一腿向另一腿移动重心时，身体上半段先于骨盆向新方向倾倒，形成“上半身带动下半身”的错误次序，重心移动的末端常因速度过快而超出支撑面范围，出现前扑或侧摔的趋势，动作稳定性严重不足。
11,Modern,C,jun11__1,677,27.1,11.mp3,"Cognitive confusion in the combination structure, confusion in the order of actions, missing action units, or a stagnant state of ""not knowing what to do next"" in the middle of the combination.",组合结构的认知混乱，动作顺序混淆、遗漏动作单元、或在组合中段出现“不知道接下来该做什么”的停滞状态。
11,Modern,C,jun11__2,677,27.1,11.mp3,"Blurred sense of direction, frequent disorientation, lack of clear logical relationship between the direction of facing, the direction of movement, and the direction to face after turning around.",方向感模糊、频繁迷失方位，面向的方向、动作展开的方位、以及转身后应面对的方向之间缺乏明确的逻辑关系。
12,Modern,A,jun11__1,1463,58.5,12.mp3,"The essentials of movements are well grasped and applied, and ""active control of speed and posture"" can be added to the existing movement efficiency to increase expressive content.",动作要领的把握及运用很好，可在现有运动效率的基础上增加“速度与姿态的主动调控”，增加表达性内容
12,Modern,A,jun11__2,1463,58.5,12.mp3,The technical completion of the segment-by-segment movement of the spine in the combination is relatively high. The direction of section-by-section movement is already relatively mature and can be fur,组合中对脊柱逐节运动的技术完成度较高。逐节运动的方向上已经较为成熟，可在脊柱运动的“反向控制”方面进一步提升
12,Modern,A,jun11__3,1463,58.5,12.mp3,The quality of the movements is high. It is recommended to transfer the perception ability of the pelvis to the soles of the feet in the standing state to realize the transformation and application of,动作质量较高，建议将骨盆的感知能力迁移至站立状态中的脚底感知，实现地面技术在垂直空间中的转化应用。
12,Modern,B,jun11,1463,58.5,12.mp3,"The movement of the lumbar segment is relatively clear and controllable, while the range of motion and recognizability of the thoracic segment are significantly reduced. The movement of the cervical s",腰椎段的运动较为清晰可控，胸椎段的运动幅度和可辨识度明显下降，颈椎段的运动常被忽略或仓促带过，使脊柱波浪在胸椎与颈椎交界处出现“断层”现象。
12,Modern,B,jun11__1,1463,58.5,12.mp3,"The body's coordination, stretch, and flexibility are good, but the core of the body is easy to relax and the sustained contraction ability of the abdominal and back muscles is insufficient.",身体的协调性、舒展性、灵活性较好，但身体核心易松懈，腹背肌群的持续收缩能力不足。
12,Modern,B,jun11__4,1463,58.5,12.mp3,"The body's stretchability is good, but the leading and directionality of the movements are insufficient.",身体的舒展性较好，但动作的先导性和指向性不足。
